feature,correlation,abs_correlation
failure_rate,0.7915773584149669,0.7915773584149669
burst_score,0.39270658913866086,0.39270658913866086
success_after_fail,-0.31843375313354766,0.31843375313354766
auth_failure_count,0.310788040470637,0.310788040470637
invalid_user_rate,0.29832433835790845,0.29832433835790845
source_port_count,0.2878378394323467,0.2878378394323467
failed_login_count,0.2704788626786679,0.2704788626786679
connection_count,0.24408538176901123,0.24408538176901123
unique_users,0.2426778189701071,0.2426778189701071
command_count,0.22037046829837345,0.22037046829837345
invalid_user_count,0.21686245966063147,0.21686245966063147
commands_per_accepted,0.20540704265891488,0.20540704265891488
accepted_login_count,-0.19101263408074695,0.19101263408074695
unique_passwords,0.17029012243551148,0.17029012243551148
suspicious_command_count,0.1378304431657069,0.1378304431657069
