feature,correlation,abs_correlation
Packet_Rate,0.7823272607941949,0.7823272607941949
Destination Port,0.6187190477976877,0.6187190477976877
Byte_Rate,0.5585604708665151,0.5585604708665151
Source Port,-0.39627477410958606,0.39627477410958606
Bytes_per_Packet,-0.1415817383723261,0.1415817383723261
Port_Diversity_Ratio,0.07674863814007446,0.07674863814007446
Packets,0.0422644561662634,0.0422644561662634
Bytes,0.03937240285498115,0.03937240285498115
Elapsed Time (sec),-0.006827103507415084,0.006827103507415084
